classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
1,bkkc201300212689,可再生能源与低碳社会,全校任选,2,,周五7-9，周四7-9，周三7-9，周二7-9，周一7-9,1-2,肖立新(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201300212689&kclx=BK,14-15,3,BKSKB,00004
1,bkkc201200109306,量子力学专题,任选,2,,周四3-4，周三3-4，周二3-4，周一3-4,1-4,B. Rosenstein(待定),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201200109306&kclx=BK,14-15,3,BKSKB,00004
1,BKC00432216AT0001012,量子力学 (Ⅱ),任选,2,,周五7-8，周四7-8，周二7-8，周一7-8,1-4,钱志新(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC00432216AT0001012&kclx=BK,14-15,3,BKSKB,00004
1,bkkc201300212752,物理学科暑期专题研讨,任选,3,,周日1-8，周六1-8，周五1-8，周四1-8，周三1-8，周二1-8，周一1-8,1-1,刘玉鑫(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201300212752&kclx=BK,14-15,3,BKSKB,00004
1,BKC01130910AT0002163,生物学野外实习,任选,1,,周五1-8，周四1-8，周三1-8，周二1-8，周一1-8,1-2,饶广远(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01130910AT0002163&kclx=BK,14-15,3,BKSKB,00011
1,bkkc201500247951,植物发育及分子生物学,任选,2,,周日1-9，周六1-9，周五1-9，周四1-9，周三1-9，周二1-9，周一1-9,3-4,邓兴旺(教授)，瞿礼嘉(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201500247951&kclx=BK,14-15,3,BKSKB,00011
1,bkkc201400242238,高级植物分子生物学实验技术,任选,1.5,,周五1-8，周四1-8，周三1-8，周二1-8，周一1-8,1-2,王东辉(高级工程师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400242238&kclx=BK,14-15,3,BKSKB,00011
1,bkkc201500246642,人类遗传学: 连锁分析及疾病遗传学,任选,2,,周六1-8，周五1-8，周四1-8，周三1-8，周二1-8，周一1-8,4-4,魏丽萍(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201500246642&kclx=BK,14-15,3,BKSKB,00011
1,BKC01110326C39700R94,癌发生的分子和细胞学机制,任选,2,,周五1-8，周四1-8，周三1-8，周二1-8，周一1-8,1-2,张文霞(副教授)，赖志春(待定),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01110326C39700R94&kclx=BK,14-15,3,BKSKB,00011
1,BKC01209219C31420R78,综合地质实习,专业必修,2,,0-0,1-5,张进江(教授)，魏春景(教授)，孙元林(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01209219C31420R78&kclx=BK,14-15,3,BKSKB,00012
