classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
00,yjkc20150500017833,生物统计学的理论和应用,选修,2,,- ,-,李沉简,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20150500017833&kclx=YJ,15-16,3,YJSKB,00011
00,yjkc20140300013880,意识的脑机制,选修,2,,- ,-,李量(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20140300013880&kclx=YJ,15-16,3,YJSKB,00016
29,YKC02819930AT0002630,品牌管理,选修,2,,- ,-,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC02819930AT0002630&kclx=YJ,15-16,3,YJSKB,00028
00,yjkc20120600009464,硅基光电子技术及应用,选修,3,,- ,-,周治平,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20120600009464&kclx=YJ,15-16,3,YJSKB,00048
00,yjkc20160300020434,交互设计中之人与社会因素,选修,2,本研合上,- ,-,王衡,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20160300020434&kclx=YJ,15-16,3,YJSKB,00048
00,yjkc20160300020436,健康信息学——大数据方法,选修,2,本研合上,- ,-,张铭,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20160300020436&kclx=YJ,15-16,3,YJSKB,00048
00,YKC06700130AT0010281,课程理论与高校教学管理,限选,2,,- ,-,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC06700130AT0010281&kclx=YJ,15-16,3,YJSKB,00067
00,YKC06700140AT0010282,大学理念与高等教育史,限选,2,,- ,-,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC06700140AT0010282&kclx=YJ,15-16,3,YJSKB,00067
00,YKC06700160AT0010288,信息技术与高校管理,限选,2,,- ,-,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC06700160AT0010288&kclx=YJ,15-16,3,YJSKB,00067
00,YKC06710451AT0010283,教育政策研究,限选,2,,- ,-,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC06710451AT0010283&kclx=YJ,15-16,3,YJSKB,00067
00,YKC06710492AT0004277,组织理论与高教管理,限选,2,,- ,-,郭建如,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC06710492AT0004277&kclx=YJ,15-16,3,YJSKB,00067
00,YKC06710492AT0004277,组织理论与高教管理,限选,2,,- ,-,阎凤桥,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC06710492AT0004277&kclx=YJ,15-16,3,YJSKB,00067
00,YKC06710502AT0009683,高等教育经济与财政,限选,2,,- ,-,杨钋,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC06710502AT0009683&kclx=YJ,15-16,3,YJSKB,00067
04,YKC06808A14C10013R88,社会科学研究设计和研究方法,选修,3,,- ,-,乔晓春,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC06808A14C10013R88&kclx=YJ,15-16,3,YJSKB,00068
04,YKC06808A14C10023R60,社会科学应用统计学,选修,3,,- ,-,乔晓春,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC06808A14C10023R60&kclx=YJ,15-16,3,YJSKB,00068
00,YKC06810030AT0009407,社会科学研究方法,选修,3,,- ,-,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC06810030AT0009407&kclx=YJ,15-16,3,YJSKB,00068
